Vendor Name,Item Name,Item Variation,SKU,Category,Product Sales,Refunds,Discounts & Comps,Net Sales,Tax,Unit,Units Sold,Units Refunded,Gross Sales,GTIN
All Good Foods,Coconut Groove 520ml,Regular,"",Drinks Fridge,$12.00,$0.00,$0.00,$12.00,$0.00,ea,3,0,$12.00,609613796258
All Good Foods,Daylesford and Hepburn Sparkling Mineral Water 750,Regular,"",Drinks Fridge,$11.52,$0.00,$0.00,$11.52,$1.18,ea,2,0,$12.70,9339948000232
All Good Foods,Daylesford and Hepburn Still Water 750ml,Regular,"",Drinks Fridge,$5.50,$0.00,-$0.82,$4.68,$0.00,ea,1,0,$4.68,9339948000249
All Good Foods,"Organic Cola 300ml, Dayelsford & Hepburn",Regular,"",Drinks Fridge,$10.30,$0.00,$0.00,$10.30,$0.00,ea,2,0,$10.30,9339948000720
All Good Foods,Taste Nirvana Coconut Water 700ml,Regular,"",Drinks Fridge,$26.85,$0.00,$0.00,$26.85,$0.00,ea,3,0,$26.85,011259904247
All Good Foods,"Cashew Cheese Chives & Shallots 270g, Nutty Byron Bay",Regular,"",Fridge & Freezer,$30.00,$0.00,$0.00,$30.00,$0.00,ea,2,0,$30.00,787099328177
All Good Foods,Humble Vegan Pesto 200g,Regular,"",Fridge & Freezer,$6.30,$0.00,$0.00,$6.30,$0.00,ea,1,0,$6.30,9314075001741
All Good Foods,"Tempeh Burger 200g, Nutrisoy",Regular,"",Fridge & Freezer,$33.50,$0.00,$0.00,$33.50,$0.00,ea,5,0,$33.50,9313727001115
All Good Foods,"Beetroot Quinoa & Chia 8 Wraps 200g, Mountain Bread",Regular,"",Groceries,$5.50,$0.00,$0.00,$5.50,$0.00,ea,1,0,$5.50,789673000509
All Good Foods,Blue Corn Tortillas 12 Dona Cholita,Regular,"",Groceries,$7.81,$0.00,$0.00,$7.81,$0.79,ea,1,0,$8.60,683405832416
All Good Foods,"Brown Rice & Flax Sprouted Bread 900g, Pure Life",Regular,"",Groceries,$16.00,$0.00,$0.00,$16.00,$0.00,ea,1,0,$16.00,9327546002109
All Good Foods,"Buckwheat Pancake Mix 375g, Orgran",Regular,"",Groceries,$7.20,$0.00,-$5.00,$2.20,$0.00,ea,1,0,$2.20,720516010712
All Good Foods,Cashew Cheese - Garlic 270g Nutty Bay,Regular,"",Groceries,$15.00,$0.00,$0.00,$15.00,$0.00,ea,1,0,$15.00,787099328153
All Good Foods,Cashew Cheese Olive Oregano Nutty Bay 270g,Regular,"",Groceries,$15.00,$0.00,$0.00,$15.00,$0.00,ea,1,0,$15.00,787099328191
All Good Foods,Coconut Groove 520ml,Regular,"",Groceries,$20.00,$0.00,$0.00,$20.00,$0.00,ea,5,0,$20.00,609613796258
All Good Foods,"Corn Crispbread 125g, Orgran",Regular,"",Groceries,$10.17,$0.00,$0.00,$10.17,$1.03,ea,2,0,$11.20,720516022050
All Good Foods,Crispibread Quinoa 125g,Regular,"",Groceries,$5.08,$0.00,$0.00,$5.08,$0.52,ea,1,0,$5.60,720516022234
All Good Foods,"Date & Walnut Sprouted Bread 1.1kg, Pure Life",Regular,"",Groceries,$15.45,$0.00,$0.00,$15.45,$0.00,ea,1,0,$15.45,9327546002130
All Good Foods,Dayelsford & Hepburn Org Cola 300ml,Regular,"",Groceries,$10.30,$0.00,$0.00,$10.30,$0.00,ea,2,0,$10.30,9339948000720
All Good Foods,Daylesford and Hepburn Sparkling Mineral Water 750,Regular,"",Groceries,$34.65,$0.00,-$0.64,$34.01,$3.45,ea,6,0,$37.46,9339948000232
All Good Foods,Daylesford and Hepburn Still Water 750ml,Regular,"",Groceries,$38.50,$0.00,-$0.82,$37.68,$0.00,ea,7,0,$37.68,9339948000249
All Good Foods,Dona Cholita Blue Corn Totops 170g,Regular,"",Groceries,$29.40,$0.00,$0.00,$29.40,$3.00,ea,3,0,$32.40,735204341634
All Good Foods,Dona Cholita White Corn Totops 170g,Regular,"",Groceries,$9.80,$0.00,$0.00,$9.80,$1.00,ea,1,0,$10.80,735204341641
All Good Foods,Femenstation Brown Rice Miso 240g,Regular,"",Groceries,$19.80,$0.00,$0.00,$19.80,$0.00,ea,1,0,$19.80,746935792039
All Good Foods,"Five Seeds Sprouted Bread 900g, Pure Life",Regular,"",Groceries,$15.95,$0.00,$0.00,$15.95,$0.00,ea,1,0,$15.95,9327546002116
All Good Foods,French Beetroot Sauerkraut 440g Alive Foods,Regular,"",Groceries,$45.00,$0.00,-$2.25,$42.75,$0.00,ea,3,0,$42.75,764210573203
All Good Foods,Fresh Corn Tortillas 12 Dona Cholita,Regular,"",Groceries,$8.60,$0.00,$0.00,$8.60,$0.00,ea,1,0,$8.60,683405832409
All Good Foods,Humble Hummus 900g,Regular,"",Groceries,$27.00,$0.00,$0.00,$27.00,$0.00,ea,3,0,$27.00,9314075001079
All Good Foods,Kim Chi 440g Alive Foods,Regular,"",Groceries,$30.00,$0.00,$0.00,$30.00,$0.00,ea,2,0,$30.00,764210573197
All Good Foods,Living Chai Org Chai 770ml,Regular,"",Groceries,$22.38,$0.00,$0.00,$22.38,$2.27,ea,1,0,$24.65,9356865000084
All Good Foods,"Organic Chicken Bone Broth 1L , Mullumbimbi Merchants",Regular,"",Groceries,$102.00,$0.00,$0.00,$102.00,$0.00,ea,4,0,$102.00,9314075002977
All Good Foods,Soyco Sesame Soy & Ginger Tofu 200g,Regular,"",Groceries,$18.00,$0.00,$0.00,$18.00,$0.00,ea,3,0,$18.00,9313727010261
All Good Foods,"Spiral Pasta, 600g Buontempo",Regular,"",Groceries,$7.65,$0.00,$0.00,$7.65,$0.00,ea,1,0,$7.65,720516026065
All Good Foods,Taste Nirvana Coconut Water 700ml,Regular,"",Groceries,$71.60,$0.00,$0.00,$71.60,$0.00,ea,8,0,$71.60,011259904247
All Good Foods,Tempeh Organic Chickpea 300g Byron Bay,Regular,"",Groceries,$13.25,$0.00,$0.00,$13.25,$0.00,ea,1,0,$13.25,680569878601
All Good Foods,Tempeh Organic Fava Wakame 300g Byron Bay,Regular,"",Groceries,$92.75,$0.00,$0.00,$92.75,$0.00,ea,7,0,$92.75,680569878595
All Good Foods,"Tofu Org 350g, Nutrisoy",Regular,"",Groceries,$23.00,$0.00,$0.00,$23.00,$0.00,ea,4,0,$23.00,9313727000118
All Good Foods,"Tofu Org 750g, Nutrisoy",Regular,"",Groceries,$11.00,$0.00,$0.00,$11.00,$0.00,ea,1,0,$11.00,9313727000125
All Good Foods,Tofu Spicy 200g Nutrisoy,Regular,"",Groceries,$12.00,$0.00,$0.00,$12.00,$0.00,ea,2,0,$12.00,9313727002013
All Good Foods,Tofu Teriyaki 200g Nutrisoy,Regular,"",Groceries,$30.00,$0.00,$0.00,$30.00,$0.00,ea,5,0,$30.00,9313727002020
All Good Foods,Traditional Hummus 270g Naked Byron Foods Org,Regular,"",Groceries,$6.90,$0.00,-$0.69,$6.21,$0.00,ea,1,0,$6.21,9314075001000
All Good Foods,Traditional Sauerkraut 440g Alive Foods,Regular,"",Groceries,$30.00,$0.00,$0.00,$30.00,$0.00,ea,2,0,$30.00,764210573227
All Good Foods,"Vegan Chipotle 455g, Naked Byron Foods",Regular,"",Groceries,$9.90,$0.00,-$2.48,$7.42,$0.00,ea,1,0,$7.42,9314075000416
All Good Foods,"Vegan Mayonnaise 465g, Naked Byron Foods",Regular,"",Groceries,$19.80,$0.00,-$9.90,$9.90,$0.00,ea,2,0,$9.90,9314075000409
All Good Foods,"Za'atar Hummus 270g, Naked Byron Foods",Regular,"",Groceries,$15.00,$0.00,$0.00,$15.00,$0.00,ea,2,0,$15.00,9314075001024
