Reference Handle,Token,Item Name,Customer-facing name,Variation Name,Unit and Precision,SKU,Description,Categories,Reporting Category,SEO Title,SEO Description,Permalink,GTIN,Square Online Item Visibility,Item Type,Weight (kg),Social Media Link Title,Social Media Link Description,Shipping Enabled,Self-serve Ordering Enabled,Delivery Enabled,Pickup Enabled,Price,Online sale price,Archived,Sellable,Contains alcohol,Stockable,Skip Detail screen in POS,Option Name 1,Option Value 1,Default Unit Cost,Default Vendor Name,Default Vendor Code,Current Quantity Wild Octave Organics,New Quantity Wild Octave Organics,Stock Alert Enabled Wild Octave Organics,Stock Alert Count Wild Octave Organics,Modifier Set - 01 Coffee Type,Modifier Set - 02 Milk,Modifier Set - 03 strength,Modifier Set - 04 Sugar / Sweetener,Modifier Set - 05 Half & Half Hot Drink,Modifier Set - 06 Drink Heat,Modifier Set - Add-Ons,Modifier Set - Decaf,Modifier Set - Fruits - custom,Modifier Set - Fruits - Custom (Custom Juice Only),Modifier Set - iced,Modifier Set - Juice instead of milk,Modifier Set - Mushroom Booster Mod,Modifier Set - on side,Modifier Set - Own Cup,Modifier Set - Smoothie milks,Modifier Set - Super Foods & Mush Add-On,Tax - GST (10%),Tax - GST Free (0%)
#-do-not-use-greek-style-knox-and-aya-995g-regular,3NCPLCXZD6WTK4JLFX5CIEBL,***** DO NOT USE *****greek style knox and aya 995g,,Regular,,,,,,,,,,visible,Physical good,,,,Y,N,N,N,18.60,,Y,,N,,N,,,,,,-1,,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,Y
#000-macadamia-roasted-unsalted-bulk-,KY7G24WZ4OOYGZXQWGTCERSH,000 Macadamia Roasted Unsalted Bulk,,,Litre 1.000,,,Shop > Bulk,Shop > Bulk,,,,,unavailable,Physical good,,,,Y,N,N,N,55.05,,N,,N,,N,,,28.60,Absoulutely Wholesale,,4.805,,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N
#001-apricot-delight-bulk-,P426P4G3QCFXJANXBOPBWUAU,001 Apricot Delight Bulk,,,Litre 1.000,,,Shop > Bulk,Shop > Bulk,,,,,visible,Physical good,,,,Y,N,N,N,27.95,,N,,N,,N,,,14.52,,,-0.11,,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N
#002-apricot-slice-bulk-,6V2N2HGKCZJNZ7DE236R7DW2,002 Apricot Slice Bulk,,,Litre 1.000,,,Shop > Bulk,Shop > Bulk,,,,,visible,Physical good,,,,Y,N,N,N,35.65,,N,,N,,N,,,18.52,,,-0.23,,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N
#003-almond-yoghurt-bites-bulk-,2Y7I7WLAFLA43IXUC7VPAQFW,003 Almond Yoghurt Bites Bulk,,,Litre 1.000,,,Shop > Bulk,Shop > Bulk,,,,,visible,Physical good,,,,Y,N,N,N,35.60,,N,,N,,N,,,18.49,,,-1.325,,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N
#004-almonds-bulk-,KHGKEXOYAQ5YY6SBMX2MNOWP,004 Almonds Bulk,,,Litre 1.000,,,Shop > Bulk,Shop > Bulk,,,,,visible,Physical good,,,,Y,N,N,N,36.20,,N,,N,,N,,,20.70,Absoulutely Wholesale,,5.055,,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y
#005-almonds-tamari-bulk-,FKYEX2CH5NWEGB7FK4YIVVXN,005 Almonds Tamari Bulk,,,Litre 1.000,,,Shop > Bulk,Shop > Bulk,,,,,visible,Physical good,,,,Y,N,N,N,36.75,,N,,N,,N,,,19.10,,,2.206,,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N
#006-buckwheat-kernels-bulk-,7VWGQKTZ4YWPGQRHGSHDRBNT,006 Buckwheat Kernels Bulk,,,Litre 1.000,,,Shop > Bulk,Shop > Bulk,,,,,visible,Physical good,,,,Y,N,N,N,7.80,,N,,N,,N,,,4.46,,,-2.22,,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y
#007-banana-carob-bulk-maple-moon--,UG66Q4CSI6EWBWIYLW5BV6UW,"007 Banana Carob Bulk, maple moon.",,,,,,Shop > Bulk,Shop > Bulk,,,,,visible,Physical good,,,,Y,N,N,N,3.10,,N,,N,,N,,,1.70,,,11,,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N
#008-banana-dried-bulk-,6T6E7M57C7H7KPXEOOJA2RXX,008 Banana Dried Bulk,,,Litre 1.000,,,Shop > Bulk,Shop > Bulk,,,,,visible,Physical good,,,,Y,N,N,N,25.10,,N,,N,,N,,,14.35,Absoulutely Wholesale,,0.536,,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y
