Name,01/08/2025,02/08/2025,03/08/2025,04/08/2025,05/08/2025,06/08/2025,07/08/2025,08/08/2025,09/08/2025,10/08/2025,11/08/2025,12/08/2025,13/08/2025,14/08/2025,15/08/2025,16/08/2025,17/08/2025,18/08/2025,19/08/2025,20/08/2025,21/08/2025,22/08/2025,23/08/2025,24/08/2025,25/08/2025,26/08/2025,27/08/2025,28/08/2025,29/08/2025,30/08/2025,31/08/2025,01/09/2025,02/09/2025,03/09/2025,04/09/2025,05/09/2025,06/09/2025,07/09/2025,08/09/2025,09/09/2025,10/09/2025,11/09/2025,12/09/2025,13/09/2025,14/09/2025,15/09/2025,16/09/2025,17/09/2025,18/09/2025,19/09/2025,20/09/2025,21/09/2025,22/09/2025,23/09/2025,24/09/2025,25/09/2025,26/09/2025,27/09/2025,28/09/2025,29/09/2025,30/09/2025,01/10/2025,02/10/2025,03/10/2025,04/10/2025,05/10/2025,06/10/2025,07/10/2025,08/10/2025,09/10/2025,10/10/2025,11/10/2025,12/10/2025,13/10/2025,14/10/2025,15/10/2025,16/10/2025,17/10/2025,18/10/2025,19/10/2025,20/10/2025,21/10/2025,22/10/2025,23/10/2025,24/10/2025,25/10/2025,26/10/2025,27/10/2025,28/10/2025,29/10/2025,30/10/2025,31/10/2025,01/11/2025,02/11/2025,03/11/2025,04/11/2025,05/11/2025,06/11/2025,07/11/2025,08/11/2025,09/11/2025,10/11/2025,11/11/2025,12/11/2025,13/11/2025,14/11/2025,15/11/2025,16/11/2025,17/11/2025,18/11/2025,19/11/2025,20/11/2025,21/11/2025,22/11/2025,23/11/2025,24/11/2025,25/11/2025,26/11/2025,27/11/2025,28/11/2025,29/11/2025,30/11/2025,01/12/2025,02/12/2025
10% Discount,-$14.45,-$3.51,-$10.54,-$3.64,-$23.81,-$5.37,-$9.64,-$3.25,-$5.61,-$3.26,-$24.88,$1.76,-$4.12,-$9.24,-$8.47,$0.00,-$20.37,-$3.08,-$18.95,-$16.03,$0.00,-$18.27,-$5.97,-$1.85,-$13.77,-$27.72,-$18.29,-$2.73,-$17.12,-$9.70,-$11.82,-$3.81,-$35.46,-$11.45,$0.00,$0.00,-$2.20,-$1.77,-$21.02,-$17.25,-$6.60,$0.00,-$0.92,-$6.87,$0.00,-$10.37,-$16.46,-$4.00,$0.00,$0.00,$0.00,$0.00,-$5.83,$0.00,-$0.90,$0.00,$0.00,-$44.29,$0.00,-$8.30,$0.00,$0.00,-$4.56,$0.00,$0.00,$0.00,-$1.98,-$3.75,-$3.67,$0.00,$0.00,-$5.25,-$6.24,-$1.87,$0.00,-$5.83,$0.00,$0.00,-$4.19,-$10.90,$0.00,$0.00,-$5.40,$0.00,-$12.49,-$0.22,$0.00,$0.00,$0.00,-$3.05,$0.00,$0.00,-$17.03,-$0.76,-$11.16,-$12.15,-$4.85,$0.00,-$11.38,-$2.31,$0.00,$0.00,-$20.63,-$3.18,-$0.95,$0.00,-$5.18,-$3.52,-$10.76,$0.00,-$14.48,-$25.88,-$4.72,-$2.01,-$2.75,-$19.44,$0.00,-$3.39,$0.00,-$4.65,-$7.60,-$5.66,$0.00,$0.00
25% Shop Discount,-$12.83,-$2.89,-$1.60,-$5.78,-$24.08,$0.00,-$8.50,-$34.59,$0.00,-$7.31,-$1.62,-$32.92,$0.00,$0.00,-$8.10,-$16.23,-$7.43,-$1.58,-$4.05,$0.00,$0.00,-$26.53,$0.00,-$3.75,-$50.87,$0.00,-$0.91,-$4.05,-$8.03,-$6.08,-$8.12,-$9.52,-$18.09,$0.00,-$17.94,-$17.89,-$11.01,-$3.38,-$31.25,$0.00,$0.00,-$44.22,-$4.05,-$11.60,-$2.45,-$4.05,$0.00,$0.00,-$3.39,-$10.06,-$1.88,-$10.55,-$3.49,-$4.05,$0.00,-$3.49,-$1.50,-$1.50,-$6.53,-$15.20,$0.00,$0.00,-$18.50,-$4.05,-$10.12,-$16.57,-$3.00,$0.00,-$2.25,-$1.50,-$15.86,-$9.60,-$1.62,-$7.01,$0.00,$0.00,-$26.22,$0.00,-$6.06,$0.00,$0.00,-$1.50,$0.00,-$10.65,-$16.25,-$9.57,-$2.48,-$4.05,-$4.18,$0.00,-$1.50,-$16.20,-$34.65,-$3.41,-$9.99,$0.00,-$23.19,-$6.18,-$2.06,-$7.15,$0.00,-$16.20,-$5.10,$0.00,-$8.10,-$5.64,-$3.48,-$10.16,-$19.39,-$2.45,-$5.36,-$5.00,-$4.05,-$17.38,-$2.25,-$42.58,-$8.06,$0.00,-$16.87,-$2.30,-$6.16,-$23.19,-$1.49,$0.00
50% Shop Discount,-$51.00,-$32.58,-$12.20,-$48.80,-$8.75,-$27.39,$0.00,-$2.24,-$10.86,-$6.42,$0.00,-$14.98,-$18.51,-$40.94,-$9.37,-$65.33,-$2.88,-$8.13,-$1.66,-$9.41,$0.00,-$1.98,$0.00,-$22.20,-$28.68,$0.00,-$22.50,-$3.96,-$5.96,-$62.19,-$14.77,-$45.39,-$11.92,-$8.10,-$23.92,-$6.06,-$12.25,$0.00,-$21.48,$0.00,$0.00,-$19.83,-$2.80,-$31.95,-$15.95,-$18.78,-$5.30,$0.00,-$7.50,-$4.00,-$2.75,-$20.30,-$5.54,-$5.93,-$8.25,-$3.68,$0.00,$0.00,-$21.85,-$35.70,-$8.10,$0.00,-$1.88,$0.00,-$6.12,-$10.36,-$17.68,-$5.10,$0.00,-$14.41,-$7.12,-$12.52,-$19.58,-$19.30,-$57.37,-$17.47,-$10.50,$0.00,-$3.85,-$11.65,-$3.78,$0.00,-$8.80,$0.00,$0.00,-$1.84,-$28.09,-$26.83,-$37.08,-$19.40,-$55.26,-$10.18,-$9.18,-$15.63,-$9.75,$0.00,-$36.00,-$7.88,$0.00,-$45.94,-$105.13,-$12.12,-$0.38,-$77.66,-$110.86,-$14.62,-$15.10,-$39.70,-$19.47,-$35.50,-$4.50,-$8.72,$0.00,-$2.34,-$7.70,-$12.00,-$47.20,-$9.62,-$34.53,-$3.50,-$22.32,-$54.41,-$48.88,$0.00
Staff Comp,-$38.94,-$6.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,-$5.00,-$5.00,$0.00,-$10.46,$0.00,-$9.69,$0.00,$0.00,$0.00,-$9.25,-$27.80,-$82.16,$0.00,-$14.00,-$7.00,-$7.00,$0.00,-$5.00,-$97.25,$0.00,$0.00,-$14.50,-$7.00,$0.00,$0.00,-$33.11,-$11.00,$0.00,-$14.00,-$7.00,$0.00,$0.00,-$78.00,$0.00,$0.00,-$36.95,$0.00,-$56.10,$0.00,$0.00,$0.00,$0.00,-$16.00,-$12.00,$0.00,$0.00,$0.00,$0.00,$0.00,-$6.00,$0.00,$0.00,-$103.11,$0.00,$0.00,-$7.40,-$15.00,$0.00,$0.00,-$5.55,$0.00,-$7.00,-$5.55,$0.00,-$18.70,-$100.60,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,-$14.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,-$40.85,$0.00,-$7.70,-$81.66,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,-$78.00,$0.00,$0.00,$0.00,$0.00,$0.00,-$7.70,$0.00,$0.00,$0.00,-$122.49,-$7.00,-$7.40,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
Staff Discount 20%,-$26.72,-$19.13,-$6.50,-$23.12,-$35.64,-$13.94,-$8.36,-$100.01,-$5.83,-$29.90,-$10.21,-$40.97,-$11.17,-$31.31,-$18.55,-$5.20,$0.00,-$11.04,-$4.48,-$10.76,-$35.82,-$40.47,-$41.67,-$5.84,-$14.32,-$26.88,-$13.10,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
cafe stock,-$5.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,-$15.85,-$20.60,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,-$14.90,$0.00,-$44.45,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,-$63.15,-$24.90,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,-$54.10,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,-$27.90,$0.00,$0.00,$0.00,$0.00,-$44.90,$0.00,$0.00,$0.00,$0.00,-$7.40,$0.00,$0.00,$0.00,-$5.50,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,-$11.45,$0.00,$0.00,-$99.72,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,-$15.85,$0.00,$0.00,$0.00,$0.00,-$7.85,-$3.30,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
%,$0.00,$0.00,$0.00,-$32.30,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,-$13.01,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
juice smoothie stock,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,-$69.36,$0.00,$0.00,$0.00,$0.00,$0.00,-$16.85,-$31.25,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,-$93.96,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,-$15.57,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,-$41.25,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,-$93.44,$0.00,$0.00,$0.00,$0.00,$0.00,-$92.53,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,-$23.71,$0.00,-$8.61,$0.00,$0.00,$0.00,$0.00,$0.00,-$17.26,-$23.23,$0.00,$0.00,$0.00,$0.00,-$22.93,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,-$18.26,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,-$14.89,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
NEW Staff Discount 15%,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,-$20.55,-$2.50,$0.00,-$7.45,-$2.32,-$39.67,-$3.19,-$34.24,-$1.52,-$10.16,-$5.29,-$12.46,-$21.10,-$17.89,-$21.92,-$1.40,-$2.51,-$30.77,-$1.59,-$4.35,-$13.09,-$8.95,-$0.81,-$15.94,-$2.69,-$4.98,-$24.76,-$21.61,-$9.08,-$17.73,-$2.34,-$1.50,-$3.46,-$14.43,-$7.34,-$26.01,-$0.90,-$28.25,-$7.48,-$12.34,-$19.15,-$14.15,-$25.78,-$1.29,-$2.97,-$3.77,-$10.39,-$19.77,-$53.45,-$17.31,-$29.11,-$8.40,-$4.56,-$21.18,-$7.87,-$23.75,-$7.72,-$25.47,-$2.14,-$7.04,-$25.42,-$17.07,-$18.26,-$13.04,-$16.24,-$1.04,-$8.09,-$5.36,-$29.58,-$6.33,-$11.65,-$20.72,-$12.89,$0.00,-$33.11,-$15.21,-$17.46,-$14.59,-$18.19,-$11.62,-$20.73,-$6.74,-$17.57,-$20.59,-$17.13,-$17.61,-$8.84,-$13.39,$0.00,-$18.16,-$20.89,-$10.19,-$10.06,-$4.20,-$2.18,-$6.94,$0.00
First Birthday Discount,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,"-$1,368.02",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
