Date & time,Item name,Variation name,GTIN,SKU,Vendor,Total Cost,Location,Adjustment type,Adjustment Quantity
27/12/25 16:10,GF pies,Cheese & Spinach GF,,,,$4.00,Wild Octave Organics,Lost,1
27/12/25 16:09,Pies,Mexican Veg,,,,$3.65,Wild Octave Organics,Lost,1
27/12/25 16:09,Pies,Spelt Curry Vegani,,,,$3.65,Wild Octave Organics,Lost,1
27/12/25 14:43,"GF Paleo Lectin Free Loaf 750g, Almond Road",Regular,706502742997,,,$10.80,Wild Octave Organics,Lost,1
27/12/25 14:42,"GF Paleo Turmeric Loaf 750g, Almond Road",,706502742959,,,$32.40,Wild Octave Organics,Lost,3
27/12/25 10:12,Cake,Peanut Butter Choc Cheesecake,,,,$15.00,Wild Octave Organics,Lost,3
27/12/25 10:11,Cake,Orange Chocolate almond,,,,$20.00,Wild Octave Organics,Lost,4
27/12/25 08:30,Pies,Gado Gado,,,,$3.50,Wild Octave Organics,Damaged,1
27/12/25 08:29,Samosa,Regular,,,,$4.16,Wild Octave Organics,Damaged,1
26/12/25 16:08,Pies,Spelt Curry Vegani,,,,$3.65,Wild Octave Organics,Lost,1
26/12/25 16:07,Spinach & Pumpkin Roll,Regular,,,,$12.00,Wild Octave Organics,Lost,2
26/12/25 16:07,GF pies,Cheese & Spinach GF,,,,$4.00,Wild Octave Organics,Lost,1
26/12/25 16:07,GF pies,Curry Lentil GF,,,,$4.00,Wild Octave Organics,Lost,1
26/12/25 12:27,Bush Honey Mungalli 500g,Regular,9328808000352,,,$5.04,Wild Octave Organics,Lost,1
26/12/25 12:27,"Za'atar Hummus 270g, Naked Byron Foods",,9314075001024,,,$5.00,Wild Octave Organics,Lost,1
26/12/25 09:13,Cake,Baked Lemon Cheesecake,,,,$16.20,Wild Octave Organics,Lost,3
26/12/25 09:13,Vegan Lasagne Organic,Regular,,,,$40.81,Wild Octave Organics,Lost,7
26/12/25 09:13,Cake,Macadamia Cheesecake,,,,$20.00,Wild Octave Organics,Lost,4
24/12/25 17:36,Pies,Cheese & Spinach,,,,$7.00,Wild Octave Organics,Lost,2
24/12/25 17:35,Pies,Spinach & Pesto,,,,$7.80,Wild Octave Organics,Lost,2
24/12/25 17:35,Pies,Mexican Veg,,,,$3.65,Wild Octave Organics,Lost,1
24/12/25 17:35,Pies,Gado Gado,,,Byron Gourmet Pies,$3.50,Wild Octave Organics,Lost,1
23/12/25 17:10,GF pies,Gado Gado GF,,,,$4.00,Wild Octave Organics,Lost,1
23/12/25 17:09,Pies,Spelt Curry Lentil,,,,$3.65,Wild Octave Organics,Lost,1
23/12/25 17:09,Pies,Spelt Curry Vegani,,,,$3.65,Wild Octave Organics,Lost,1
23/12/25 17:09,Pies,Spinach & Pesto,,,,$3.90,Wild Octave Organics,Lost,1
23/12/25 17:08,Samosa,Regular,,,,$4.16,Wild Octave Organics,Lost,1
23/12/25 16:56,Pies,Cheese & Spinach,,,,$7.00,Wild Octave Organics,Lost,2
23/12/25 15:56,Doughboy Seeded Org Sourdough 700g,,256263844244,,,$6.50,Wild Octave Organics,Lost,1
23/12/25 13:38,Samosa,Regular,,,,$4.16,Wild Octave Organics,Lost,1
23/12/25 09:43,Cake,Peanut Butter Choc Cheesecake,,,,$25.00,Wild Octave Organics,Lost,5
22/12/25 17:14,Pies,Gado Gado,,,,$7.00,Wild Octave Organics,Lost,2
22/12/25 17:13,Pies,Spinach & Pesto,,,,$3.90,Wild Octave Organics,Lost,1
22/12/25 17:13,Pies,Mexican Veg,,,,$3.65,Wild Octave Organics,Lost,1
22/12/25 14:34,Onions Red,,,,,$4.45,Wild Octave Organics,Damaged,0.855 kg
22/12/25 14:33,Onions Brown,,,,,$6.05,Wild Octave Organics,Damaged,1.135 kg
22/12/25 11:08,"GF Paleo Seeded Loaf 750g, Almond Road",,706502742935,,,$10.80,Wild Octave Organics,Lost,1
21/12/25 08:55,Tomatoes Roma,,,,,$10.48,Wild Octave Organics,Lost,1.8 kg
20/12/25 16:03,Pies,Cheese & Spinach,,,,$3.50,Wild Octave Organics,Lost,1
20/12/25 16:03,GF pies,Cheese & Spinach GF,,,,$4.00,Wild Octave Organics,Lost,1
20/12/25 16:02,Samosa,Regular,,,,$12.48,Wild Octave Organics,Lost,3
20/12/25 15:31,Pies,Mexican Veg,,,,$3.65,Wild Octave Organics,Lost,1
20/12/25 09:18,"Sweet Potato Sourdough Buns GF 300g, Venerdi",Regular,9421014070130,06961,,$12.48,Wild Octave Organics,Lost,2
19/12/25 09:19,GF pies,Gado Gado GF,,,,$4.00,Wild Octave Organics,Lost,1
19/12/25 09:19,Pies,Energy Roll,,,Byron Gourmet Pies,$3.50,Wild Octave Organics,Lost,1
19/12/25 09:18,Pies,Cheese & Spinach,,,,$7.00,Wild Octave Organics,Lost,2
18/12/25 11:18,"Habanero Hummus 270g, Naked Byron Foods",,9314075001048,,,$16.50,Wild Octave Organics,Lost,3
18/12/25 11:15,"Rye Sprouted Bread 1kg, Pure Life",,9327546002147,,,$9.20,Wild Octave Organics,Lost,1
18/12/25 11:05,Coyo Coconut Yoghurt Vanilla Bean 900g,,9351851001892,,,$69.48,Wild Octave Organics,Lost,6
17/12/25 17:07,GF pies,Mexican Veg GF,,,,$4.00,Wild Octave Organics,Lost,1
17/12/25 17:07,Pies,Energy Roll,,,,$3.50,Wild Octave Organics,Lost,1
17/12/25 13:04,Bone Broth Mushroom Healing 390g,Regular,9361410000082,,,$47.60,Wild Octave Organics,Lost,2
16/12/25 13:56,Loco Love 2 pack,Zingy Gingerbread Caramel,9357490000265,,,$7.51,Wild Octave Organics,Lost,1
16/12/25 13:55,Loco Love 2 pack,Chewy Caramel,9357490000432,,,$7.51,Wild Octave Organics,Lost,1
15/12/25 14:52,Bread Social Rye and Caraway 680g,Regular,2782550509001,,,$16.30,Wild Octave Organics,Lost,2
